City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
93,Severo-Kurilsk,50.6789,156.125,28.53,90,100,5.86,RU,2022-02-16 22:53:58
94,Lebu,-37.6167,-73.65,60.71,77,0,20.15,CL,2022-02-16 22:55:22
95,Barrow,71.2906,-156.7887,-23.62,99,49,10.07,US,2022-02-16 22:55:22
96,Benguela,-12.5763,13.4055,76.93,83,47,5.17,AO,2022-02-16 22:55:22
97,Zakamensk,50.3741,103.2863,-2.42,93,100,1.79,RU,2022-02-16 22:55:23
98,Vestmannaeyjar,63.4427,-20.2734,30.85,79,100,15.95,IS,2022-02-16 22:55:23
99,Ciudad Bolivar,8.1222,-63.5497,84.25,50,96,16.44,VE,2022-02-16 22:55:24
100,Menongue,-14.6585,17.691,62.65,97,59,4.09,AO,2022-02-16 22:55:24
101,Sinnamary,5.3833,-52.95,76.75,85,92,11.63,GF,2022-02-16 22:55:24
102,Kosa,59.9445,54.9977,25.63,92,100,9.82,RU,2022-02-16 22:55:25
103,Kapaa,22.0752,-159.319,78.12,65,4,5.01,US,2022-02-16 22:55:25
104,Milkovo,54.7167,158.6167,13.87,91,100,8.55,RU,2022-02-16 22:55:25
105,Hithadhoo,-0.6,73.0833,81.95,75,100,17.58,MV,2022-02-16 22:55:26
106,Ambanja,-13.6833,48.45,74.61,94,74,3.09,MG,2022-02-16 22:55:26
107,Ilulissat,69.2167,-51.1,-14.75,96,100,6.08,GL,2022-02-16 22:55:27
108,Iqaluit,63.7506,-68.5145,-23.31,67,100,2.3,CA,2022-02-16 22:55:27
109,Half Moon Bay,37.4636,-122.4286,72.99,51,0,19.57,US,2022-02-16 22:55:28
